plotid,date,species,tagnumber,status,cankerid,estdbh,dbh2012,symplfct,canker,lidelfct,x,y
SCHIEK01,30-Apr-10,QUAG,1407,Alive,1407-5,60,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1407,Alive,1407-6,60,NA,NA,1,NA,535288,4242087
SCHIEK01,30-Apr-10,QUAG,1408,Alive,1408-1,83,NA,NA,1,NA,535288,4242087
SCHIEK01,6-May-11,QUAG,1408,Alive,1408-1,83,NA,NA,1,NA,535288,4242087
SCHIEK01,18-May-12,QUAG,1408,Alive,1408-1,83,82.2,NA,1,NA,535288,4242087
MROTH01,28-Apr-10,QUKE,1413,Alive,1413-1,58.5,NA,NA,1,NA,535337,4243126
MROTH01,3-May-11,QUKE,1413,Alive,1413-1,58.5,NA,NA,1,NA,535337,4243126
MROTH01,18-May-12,QUKE,1413,Alive,1413-1,58.5,60,NA,1,NA,535337,4243126
MROTH01,28-Apr-10,QUAG,1415,Alive,1415-1,65,NA,NA,1,NA,535337,4243126
MROTH01,18-May-12,QUAG,1415,Alive,1415-1,65,66.5,NA,1,NA,535337,4243126
MROTH01,3-May-11,QUAG,1415,Alive,1415-1,65,NA,NA,1,NA,535337,4243126
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-1,72,NA,NA,1,NA,537622,4242828
MITSU03,16-May-12,QUAG,1430,Alive,1430-1,72,76.8,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-1,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-10,72,NA,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-2,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-2,72,NA,NA,1,NA,537622,4242828
MITSU03,16-May-12,QUAG,1430,Alive,1430-2,72,76.8,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-3,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-3,72,NA,NA,1,NA,537622,4242828
MITSU03,16-May-12,QUAG,1430,Alive,1430-4,72,76.8,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-4,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-4,72,NA,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-5,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-5,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-6,72,NA,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-6,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-7,72,NA,NA,1,NA,537622,4242828
MITSU03,16-May-12,QUAG,1430,Alive,1430-7,72,76.8,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-7,72,NA,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-8,72,NA,NA,1,NA,537622,4242828
MITSU03,23-Apr-10,QUAG,1430,Alive,1430-8,72,NA,NA,1,NA,537622,4242828
MITSU03,16-May-12,QUAG,1430,Alive,1430-8,72,76.8,NA,1,NA,537622,4242828
MITSU03,3-May-11,QUAG,1430,Alive,1430-9,72,NA,NA,1,NA,537622,4242828
JLSP01,14-May-12,QUAG,743,Alive,143-12,12.2,16.7,NA,1,NA,540340,4244942
KUNDE01,7-May-10,QUAG,1438,Alive,1438-1,26.2,NA,NA,1,NA,540727,4252409
LAZY04,12-May-11,QUAG,1443,Alive,1443-1,67,NA,NA,1,NA,542046,4251799
LAZY04,30-May-12,QUAG,1443,Alive,1443-1,67,68.7,NA,1,NA,542046,4251799
LAZY04,17-May-10,QUAG,1443,Alive,1443-1,67,NA,NA,1,NA,542046,4251799
JOHNS01,8-Jun-12,LIDE,1452,Alive,1452-1,10.7,17.3,NA,1,96,537319,4256725
JOHNS01,8-Jun-11,LIDE,1452,Alive,1452-1,10.7,NA,NA,1,149,537319,4256725
JOHNS01,8-Jun-12,LIDE,1452,Alive,1452-2,10.7,17.3,NA,1,96,537319,4256725
JOHNS01,8-Jun-12,LIDE,1452,Alive,1452-3,10.7,17.3,NA,1,96,537319,4256725
JOHNS01,8-Jun-12,LIDE,1452,Alive,1452-4,10.7,17.3,NA,1,96,537319,4256725
PFEND02,6-May-11,QUAG,1459,Alive,1459-1,51.8,NA,NA,1,NA,536553,4241305
PFEND02,30-Apr-10,QUAG,1459,Alive,1459-1,51.8,NA,NA,1,NA,536553,4241305
PFEND02,18-May-12,QUAG,1459,Alive,1459-1,51.8,52.7,NA,1,NA,536553,4241305
PFEND02,6-May-11,QUAG,1459,Alive,1459-2,51.8,NA,NA,1,NA,536553,4241305
PFEND02,18-May-12,QUAG,1459,Alive,1459-2,51.8,52.7,NA,1,NA,536553,4241305
PFEND02,30-Apr-10,QUAG,1459,Alive,1459-2,51.8,NA,NA,1,NA,536553,4241305
PFEND02,30-Apr-10,QUAG,1459,Alive,1459-3,51.8,NA,NA,1,NA,536553,4241305
PFEND02,18-May-12,QUAG,1459,Alive,1459-3,51.8,52.7,NA,1,NA,536553,4241305
PFEND02,6-May-11,QUAG,1459,Alive,1459-3,51.8,NA,NA,1,NA,536553,4241305
PFEND02,6-May-11,QUAG,1459,Alive,1459-4,51.8,NA,NA,1,NA,536553,4241305
PFEND01,30-Apr-10,QUAG,1462,Alive,1462-1,57.2,NA,NA,1,NA,535828,4240691
PFEND01,6-May-11,QUAG,1462,Alive,1462-2,57.2,NA,NA,1,NA,535828,4240691
PFEND01,18-May-12,QUAG,1462,Alive,1462-2,57.2,63.5,NA,1,NA,535828,4240691
PFEND01,6-May-11,QUAG,1462,Alive,1462-3,57.2,NA,NA,1,NA,535828,4240691
PFEND01,18-May-12,QUAG,1462,Alive,1462-3,57.2,63.5,NA,1,NA,535828,4240691
APGAR01,10-May-10,QUAG,1466,Alive,1466-1,33.2,NA,NA,1,NA,547360,4247383
APGAR01,24-May-11,QUAG,1466,Alive,1466-1,33.2,NA,NA,1,NA,547360,4247383
SVRP02,20-May-11,QUAG,1479,Alive,1479-1,40,NA,NA,1,NA,541746,4245403
MITSU02,16-May-12,QUAG,1480,Alive,1480-1,103,106.5,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-1,103,NA,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-1,103,NA,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-2,103,NA,NA,1,NA,536321,4242254
MITSU02,16-May-12,QUAG,1480,Alive,1480-2,103,106.5,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-2,103,NA,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-3,103,NA,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-3,103,NA,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-4,103,NA,NA,1,NA,536321,4242254
MITSU02,16-May-12,QUAG,1480,Alive,1480-4,103,106.5,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-4,103,NA,NA,1,NA,536321,4242254
MITSU02,16-May-12,QUAG,1480,Alive,1480-5,103,106.5,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-5,103,NA,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-5,103,NA,NA,1,NA,536321,4242254
MITSU02,3-May-11,QUAG,1480,Alive,1480-6,103,NA,NA,1,NA,536321,4242254
MITSU02,23-Apr-10,QUAG,1480,Alive,1480-6,103,NA,NA,1,NA,536321,4242254
MITSU02,16-May-12,QUAG,1480,Alive,1480-7,103,106.5,NA,1,NA,536321,4242254
